fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
1,2229,801051054,81054,Dickson,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.5779,149.141742,-35.25280542,50333.96377,483.1695619,182.0631473,1891.44019,397.5980189,2704.618313,959.9980028,4077.600955,3786.992726,1642.218567,1119.590731,1562.704437,844.3271446,4597.224219,1376.08846,10551.82401,4704.838074,5189.068973,860.9936073,1618.154096,0,0,2228,2245,2263,2321,2385,2640,2779,Lv 8
2,2230,801051055,81055,Downer,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.6342,149.1435405,-35.2439517,44403.29816,477.2222413,182.7155344,1834.445894,374.0783297,2596.838808,938.8005784,3705.291972,3103.26465,1548.073462,965.0756223,1441.220833,708.6618944,4056.178267,1247.168801,8266.224032,4148.868887,4887.185969,792.8898581,1485.902116,0,0,3637,3643,3713,3797,3884,3999,4016,Lv 7
3,2282,801081133,81133,Scrivener,80108,Weston Creek,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.5532,149.0716671,-35.31215099,41338.32475,451.4392129,172.8237125,1699.33768,329.0630985,2241.758073,842.1529722,3393.404266,2762.116526,1373.705742,789.9742617,1324.272781,641.1495462,3658.945068,1114.309902,8293.579639,3632.297359,5029.907077,740.7620882,1360.938258,0,0,6,7,3,3,3,3,3,Lv 7
4,2283,801091099,81099,Chifley,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.5889,149.0768352,-35.35339788,43984.96622,443.3885287,171.674255,1715.432934,337.6021966,2353.762622,856.3735201,3951.120526,2951.975249,1395.730552,774.6156771,1350.493406,673.1700432,3575.116555,1155.532441,9188.477135,3666.650655,5687.717024,707.2594244,1477.263496,0,0,2592,2538,2471,2464,2462,2481,2506,Lv 7
5,2185,801011014,81014,Higgins,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.6743,149.0272025,-35.23241552,36984.16986,452.6590259,173.8281484,1599.585033,320.2482932,2177.048861,822.5682401,3391.248829,2601.355501,1337.802791,711.7627676,1276.720298,594.6735562,3342.532018,1034.973689,6020.863349,3534.529009,4319.080909,628.8869463,1249.126872,0,0,3128,3107,3090,3078,3068,3090,3109,Lv 6
6,2186,801011015,81015,Holt,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,3.2956,149.0118783,-35.22441377,36248.39018,466.0658725,175.4005665,1646.060741,318.2773538,2154.741168,830.6241622,3435.205293,2648.916734,1341.508475,693.9833373,1276.897909,590.4326797,3182.501345,1020.048203,5378.409668,3485.516182,4341.478096,624.6200327,1237.38263,0,0,4734,4645,4612,4594,4611,4756,4863,Lv 6
7,2191,801011020,81020,Macquarie,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.7004,149.0632451,-35.2511858,41650.92628,456.3305682,175.100237,1663.941336,326.4405963,2290.640394,868.1939377,3858.258824,2913.537147,1427.706235,795.0595339,1374.823668,660.1528948,3851.812367,1120.934772,7359.96332,4052.938744,4833.795549,718.8009051,1395.920111,0,0,2753,2755,2763,2790,2827,2869,2824,Lv 7
8,2195,801011024,81024,Scullin,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.426,149.039001,-35.23462256,38496.8409,454.6178952,174.596989,1615.754309,314.7516623,2203.803477,851.2426264,3570.180003,2681.127184,1388.026771,739.2163302,1328.849254,619.5627628,3547.933994,1062.537558,6420.624017,3648.601742,4487.775246,653.6088973,1304.698674,0,0,2941,2943,2953,2991,3031,3011,3020,Lv 6
9,2197,801011026,81026,Weetangera,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.5832,149.0497274,-35.25015166,40527.76484,453.3847014,174.8139074,1648.058345,323.5459345,2262.070694,863.5119784,3676.022774,2812.970652,1413.054062,775.9401572,1359.661186,651.3544771,3764.202104,1110.956075,7200.440635,3847.659885,4656.839152,691.6460668,1352.045941,0,0,2668,2649,2636,2655,2652,2656,2650,Lv 6
10,2198,801011111,81111,Molonglo Corridor,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,24.9139,149.0204832,-35.25608906,37048.95581,454.9632715,173.7764464,1604.1868,354.1696772,2146.511402,817.786455,3307.593368,2565.691708,1329.637235,718.2984877,1271.649199,591.7653823,3328.484766,1031.328709,6255.695478,3517.31227,4315.180047,634.7139641,1241.748093,0,0,11,12,12,12,12,12,12,Lv 6
11,2199,801011112,81112,West Belconnen,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,11.3504,148.9852417,-35.22100548,33599.71819,493.88409,174.2792112,1618.736396,303.6728825,2047.775285,816.1714685,3118.573938,2358.821498,1288.721045,658.8027999,1229.128298,549.1905506,2956.144585,960.447669,4900.818698,3120.404389,3961.436024,570.9415386,1159.521393,0,0,15,15,15,15,15,15,115,Lv 5
12,2200,801031031,81031,Hume,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,8.5832,149.1658158,-35.38548454,40423.0901,435.6634228,166.4078784,1948.320877,483.6185842,3133.752028,988.3599594,3310.652362,2481.220767,1862.502817,803.6493955,1142.971389,600.0668571,3260.356139,1066.055659,7865.206461,3132.636406,4210.001243,612.7564818,1369.987795,0,0,388,410,434,434,434,434,434,Lv 6
13,2201,801031032,81032,Kowen,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,77.047,149.3136136,-35.31085352,27180.59107,406.0712121,162.6411874,1434.458058,256.8681061,1759.877168,700.0238739,2510.565575,1877.579341,1105.015399,531.7476555,1016.528969,452.3556226,2296.482908,789.0422762,3779.346927,2348.864041,3240.651492,444.7270345,950.5330483,0,0,38,38,38,38,38,38,38,Lv 5
14,2287,801091103,81103,Hughes,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.7894,149.0949098,-35.33268658,48666.03028,457.6478238,174.0328637,1821.564241,349.1248259,2436.422809,879.2437431,3848.253068,3103.407627,1442.431463,864.6814496,1448.300285,731.390951,4166.80387,1251.611933,10359.48205,4048.759922,7256.978499,782.0231491,1578.748264,0,0,3065,3048,3018,3016,3006,3013,3004,Lv 7
15,2294,801091110,81110,Torrens,80109,Woden Valley,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.3013,149.0877338,-35.37202703,39016.0711,434.5030893,169.9790585,1641.019975,328.2408504,2211.870843,816.9119022,3516.330745,2653.362309,1337.245836,704.6215911,1256.076265,609.5926455,3210.639177,1053.979427,7295.873466,3445.646898,4945.27559,627.5683617,1331.366077,0,0,2288,2242,2213,2198,2185,2184,2162,Lv 6
16,2203,801031114,81114,Canberra Airport,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,5.5374,149.1962486,-35.30403918,40509.47828,431.5725529,172.8056583,1690.79889,301.951004,2181.84342,944.3539365,3499.871928,2499.51723,1789.313041,716.5983887,1252.667362,616.1692172,4283.329014,1083.93127,8678.966529,3026.929872,4081.385032,575.5400222,1202.852668,0,0,87,91,99,99,99,99,99,Lv 6
17,2204,801031115,81115,Majura,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,89.692,149.2103623,-35.2729296,31715.00485,464.4918637,182.6813835,1590.312156,274.1541299,2032.340412,796.6099858,3049.593265,2186.637238,1265.850918,614.4040364,1178.927786,517.1694091,2676.407691,930.3132968,4796.220344,2706.203896,3597.290911,511.2176408,1056.885868,0,0,170,171,179,181,187,187,207,Lv 5
18,2205,801041034,81034,Amaroo,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2.5872,149.1280215,-35.16958802,35622.83293,458.8289631,178.1030654,1691.358451,311.5291116,2367.459698,848.8086252,3298.299196,2488.068693,1359.004951,710.9846377,1272.158552,582.1707502,3104.704506,1029.148898,5020.400141,3491.604947,4140.099252,610.1549469,1250.04403,0,0,5674,5687,5726,5787,5826,5838,5899,Lv 6
19,2172,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.5631,149.0804043,-35.2581709,45606.09069,464.3689582,176.9654173,1705.244952,353.8412117,2401.306269,901.1266368,3874.105727,3123.249381,1501.260111,897.3590257,1449.308675,711.2968396,4298.528737,1221.152308,8888.18127,4614.496835,5123.934238,802.4276234,1475.949929,0,0,2477,2460,2447,2464,2464,2486,2501,Lv 7
20,2173,801011002,81002,Belconnen,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,4.4261,149.0676194,-35.23566444,53087.91115,469.7834648,177.0862448,1742.660388,342.5180248,2499.562301,1077.335737,5300.527858,3683.503096,1764.47528,969.9198277,1743.750695,866.6640101,5549.324238,1314.352148,11132.4494,4476.162038,5608.424339,882.4600097,1713.861168,0,0,6332,6529,6743,7137,7527,7781,7634,Lv 8
21,2174,801011003,81003,Bruce,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,5.7975,149.0908294,-35.24405301,49077.3055,466.2285378,177.7917721,1713.153472,353.7802897,2496.06305,909.1286045,3885.583623,3209.165762,1511.955703,987.6195013,1444.152953,712.9938437,4593.381371,1284.421575,8797.189196,5960.846793,6390.020212,957.4168307,1530.543505,0,0,7010,7071,7147,7409,7638,7852,7679,Lv 8
